"","ID","time","depth","dt"
"450","T172062",2017-08-08 12:21:15,61.5,1.25
"451","T172062",2017-08-08 12:22:30,79.5,1.25
"452","T172062",2017-08-08 12:23:45,114.5,1.25
"453","T172062",2017-08-08 12:25:00,97,1.25
"454","T172062",2017-08-08 12:26:15,48.5,1.25
"455","T172062",2017-08-08 12:27:30,2,1.25
"456","T172062",2017-08-08 12:28:45,2,1.25
"457","T172062",2017-08-08 12:30:00,2,1.25
"458","T172062",2017-08-08 12:31:15,2,1.25
"459","T172062",2017-08-08 12:32:30,15.5,1.25
"460","T172062",2017-08-08 12:33:45,2,1.25
"461","T172062",2017-08-08 12:35:00,2,1.25
"462","T172062",2017-08-08 12:36:15,2,1.25
"463","T172062",2017-08-08 12:37:30,11,1.25
"464","T172062",2017-08-08 12:38:45,2,1.25
"465","T172062",2017-08-08 12:40:00,11,1.25
"466","T172062",2017-08-08 12:41:15,31,1.25
"467","T172062",2017-08-08 12:42:30,141,1.25
"468","T172062",2017-08-08 12:43:45,247,1.25
"469","T172062",2017-08-08 12:45:00,247,1.25
"470","T172062",2017-08-08 12:46:15,211,1.25
"471","T172062",2017-08-08 12:47:30,141,1.25
"472","T172062",2017-08-08 12:48:45,114.5,1.25
"473","T172062",2017-08-08 12:50:00,176,1.25
"474","T172062",2017-08-08 12:51:15,97,1.25
"475","T172062",2017-08-08 12:52:30,39.5,1.25
"476","T172062",2017-08-08 12:53:45,2,1.25
"477","T172062",2017-08-08 12:55:00,2,1.25
"478","T172062",2017-08-08 12:56:15,2,1.25
"479","T172062",2017-08-08 12:57:30,2,1.25
"480","T172062",2017-08-08 12:58:45,15.5,1.25
"481","T172062",2017-08-08 13:00:00,1,1.25
"482","T172062",2017-08-08 13:01:15,32.5,1.25
"483","T172062",2017-08-08 13:02:30,51,1.25
"484","T172062",2017-08-08 13:03:45,42,1.25
"485","T172062",2017-08-08 13:05:00,32.5,1.25
"486","T172062",2017-08-08 13:06:15,16,1.25
"487","T172062",2017-08-08 13:07:30,16,1.25
"488","T172062",2017-08-08 13:08:45,11.5,1.25
"489","T172062",2017-08-08 13:10:00,1,1.25
"490","T172062",2017-08-08 13:11:15,3.5,1.25
"491","T172062",2017-08-08 13:12:30,3.5,1.25
"492","T172062",2017-08-08 13:13:45,1,1.25
"493","T172062",2017-08-08 13:15:00,3.5,1.25
"494","T172062",2017-08-08 13:16:15,6,1.25
"495","T172062",2017-08-08 13:17:30,3.5,1.25
"496","T172062",2017-08-08 13:18:45,6,1.25
"497","T172062",2017-08-08 13:20:00,3.5,1.25
"498","T172062",2017-08-08 13:21:15,1,1.25
"499","T172062",2017-08-08 13:22:30,1,1.25
"500","T172062",2017-08-08 13:23:45,3.5,1.25
"501","T172062",2017-08-08 13:25:00,3.5,1.25
"502","T172062",2017-08-08 13:26:15,1,1.25
"503","T172062",2017-08-08 13:27:30,1,1.25
"504","T172062",2017-08-08 13:28:45,1,1.25
"505","T172062",2017-08-08 13:30:00,3.5,1.25
"506","T172062",2017-08-08 13:31:15,1,1.25
"507","T172062",2017-08-08 13:32:30,1,1.25
"508","T172062",2017-08-08 13:33:45,3.5,1.25
"509","T172062",2017-08-08 13:35:00,3.5,1.25
"510","T172062",2017-08-08 13:36:15,1,1.25
"511","T172062",2017-08-08 13:37:30,3.5,1.25
"512","T172062",2017-08-08 13:38:45,1,1.25
"513","T172062",2017-08-08 13:40:00,1,1.25
"514","T172062",2017-08-08 13:41:15,11.5,1.25
"515","T172062",2017-08-08 13:42:30,8,1.25
"516","T172062",2017-08-08 13:43:45,16,1.25
